iter	Logloss
0	0.6776654054
1	0.6637380723
2	0.6505522876
3	0.6381802235
4	0.62670114
5	0.614414627
6	0.6044831055
7	0.5940210527
8	0.5847046715
9	0.5756859282
10	0.5673479799
11	0.5598353384
12	0.552849961
13	0.5467907289
14	0.5409311255
15	0.5346616871
16	0.5289345773
17	0.5235269888
18	0.5176897637
19	0.5127539245
20	0.5077117586
21	0.5034807938
22	0.499047481
23	0.4953591745
24	0.4915666118
25	0.4880547145
26	0.485235412
27	0.4819977562
28	0.4786463522
29	0.4756106454
30	0.4729267198
31	0.470051983
32	0.46775756
33	0.4654450882
34	0.4629822553
35	0.4608240538
36	0.458465485
37	0.4566543761
38	0.4547706923
39	0.4531868761
40	0.4514132898
41	0.4498644432
42	0.4483658485
43	0.4468908955
44	0.445245917
45	0.4438116655
46	0.4423832391
47	0.4409924592
48	0.43984145
49	0.4386447454
50	0.4373129796
51	0.4360016083
52	0.4347841406
53	0.4336499942
54	0.4326117242
55	0.4316034895
56	0.4304952717
57	0.4293245002
58	0.4284398766
59	0.4274116932
60	0.4267036969
61	0.4259091998
62	0.4251070456
63	0.4243156718
64	0.4235042286
65	0.4227931209
66	0.4220847056
67	0.4213716957
68	0.4207655308
69	0.4202060722
70	0.4195667121
71	0.4188888848
72	0.4182312098
73	0.4175914385
74	0.4171343815
75	0.4164145225
76	0.4157861542
77	0.4151655372
78	0.4146131038
79	0.4140858887
80	0.4136565288
81	0.4132543287
82	0.4127683139
83	0.4122748778
84	0.4117954443
85	0.4113215022
86	0.410843616
87	0.4103909228
88	0.4100530356
89	0.4095796468
90	0.409228129
91	0.4089484885
92	0.4085016048
93	0.4081932176
94	0.4078017871
95	0.4073617676
96	0.4070081942
97	0.406664306
98	0.40633222
99	0.4060439494
100	0.4056575199
101	0.4053741765
102	0.4050409428
103	0.4047380325
104	0.4044562653
105	0.4041814433
106	0.4039406351
107	0.4036850932
108	0.4033445838
109	0.4029402918
110	0.4025249425
111	0.4022945055
112	0.4018264696
113	0.4015755076
114	0.4012324399
115	0.400924443
116	0.4006134713
117	0.4003295848
118	0.400069782
119	0.399719742
120	0.3994565795
121	0.3992235347
122	0.3989344731
123	0.3986654917
124	0.3984278974
125	0.3982379509
126	0.3979952448
127	0.3977795432
128	0.3974489648
129	0.3973204689
130	0.3971380641
131	0.396830946
132	0.3965931659
133	0.3963505187
134	0.3962683436
135	0.3961053527
136	0.3959080247
137	0.3957525342
138	0.395620631
139	0.395454545
140	0.3954012017
141	0.3951976043
142	0.3949669033
143	0.3947466229
144	0.3945353811
145	0.3943786062
146	0.3942312329
147	0.3940795465
148	0.3938763769
149	0.3936898466
150	0.3935719655
151	0.3933746812
152	0.3932089643
153	0.3930978613
154	0.392911672
155	0.39276731
156	0.3925372756
157	0.3922903803
158	0.3920526626
159	0.3919127909
160	0.3917293241
161	0.391493594
162	0.3913039709
163	0.391034088
164	0.3907934897
165	0.3905879659
166	0.3903699689
167	0.3901933612
168	0.3898669396
169	0.3896261359
170	0.3894629938
171	0.3892218457
172	0.3889661815
173	0.388752122
174	0.3886411935
175	0.3883710009
176	0.3882211364
177	0.3880822398
178	0.3878450726
179	0.3875853575
180	0.3874571211
181	0.3873200073
182	0.3871747857
183	0.387010458
184	0.3868424834
185	0.3865403562
186	0.3864176443
187	0.3863243002
188	0.3861245155
189	0.3859913594
190	0.3858102722
191	0.3857668584
192	0.3855932922
193	0.3853777026
194	0.3851423632
195	0.3849348749
196	0.3848115221
197	0.3846626733
198	0.384484456
199	0.3843087224
200	0.3841649059
201	0.3839938818
202	0.3838492572
203	0.3836699083
204	0.3834893281
205	0.3833431188
206	0.3831916392
207	0.3830024691
208	0.3828231957
209	0.3826356373
210	0.3824882316
211	0.3822241698
212	0.382025994
213	0.3818399945
214	0.3816213295
215	0.3813888277
216	0.3812653336
217	0.3811805266
218	0.3811032382
219	0.3810256165
220	0.3809224503
221	0.3807743043
222	0.3806946882
223	0.3805776967
224	0.3805113077
225	0.380353138
226	0.3802585947
227	0.3801489707
228	0.3800128493
229	0.3798109729
230	0.3796915318
231	0.3795815564
232	0.3794255965
233	0.37937289
234	0.3792518244
235	0.3791052534
236	0.3790317952
237	0.3789259612
238	0.3788171911
239	0.3786671436
240	0.3785511159
241	0.378504755
242	0.3783470216
243	0.3782351526
244	0.3780512121
245	0.377844954
246	0.3776605543
247	0.3775511604
248	0.3773584789
249	0.3771557489
250	0.3769781892
251	0.3768795172
252	0.3768158699
253	0.3767000378
254	0.3765686658
255	0.3765548454
256	0.3764371548
257	0.3762223629
258	0.3760833972
259	0.3759631003
260	0.3758546067
261	0.37577825
262	0.3756792655
263	0.3754950694
264	0.3753562391
265	0.3752159401
266	0.37511056
267	0.375008348
268	0.3747861195
269	0.3746625419
270	0.3745164392
271	0.3743375706
272	0.374204941
273	0.3741086058
274	0.3739911403
275	0.3738839864
276	0.373782515
277	0.3736400678
278	0.3735750412
279	0.3734564961
280	0.3734150342
281	0.3732047588
282	0.3730892675
283	0.3729313263
284	0.3728488175
285	0.3726803565
286	0.3725192619
287	0.372422644
288	0.3723407717
289	0.3721927339
290	0.3719943982
291	0.3718943713
292	0.3718324519
293	0.3716569101
294	0.371469474
295	0.3713885225
296	0.3712730944
297	0.3710903415
298	0.3709272246
299	0.3708313765
300	0.3707231048
301	0.3706020989
302	0.370431339
303	0.3702988175
304	0.3701871506
305	0.3700739668
306	0.3699218168
307	0.3698161483
308	0.3698094723
309	0.369712883
310	0.3695726594
311	0.3694711167
312	0.3693464594
313	0.3691927485
314	0.3690483374
315	0.3688999439
316	0.368804774
317	0.3687104225
318	0.3686440811
319	0.3685165376
320	0.3684314598
321	0.3683044744
322	0.3681896053
323	0.3680363392
324	0.3679816735
325	0.3677205122
326	0.3675258553
327	0.3673582236
328	0.3672496203
329	0.3671708227
330	0.3670240817
331	0.366908169
332	0.3668388165
333	0.3667116705
334	0.3665878501
335	0.3665084347
336	0.3663980797
337	0.3663239617
338	0.3662766879
339	0.3661619964
340	0.3660086241
341	0.3659442026
342	0.3658096553
343	0.3656189911
344	0.3654716403
345	0.3652925861
346	0.3652090444
347	0.3651242423
348	0.3650203974
349	0.3649313429
350	0.3648326561
351	0.3647741491
352	0.3646952773
353	0.3645535865
354	0.3644842211
355	0.3644348721
356	0.3643467761
357	0.3642559006
358	0.3641722502
359	0.364102148
360	0.3639951884
361	0.363855064
362	0.3637565085
363	0.3636731319
364	0.3635539899
365	0.3634966602
366	0.3633672704
367	0.363196556
368	0.3630973193
369	0.3629719248
370	0.3628697756
371	0.3627972807
372	0.3627145368
373	0.3625363204
374	0.3623713021
375	0.3622890198
376	0.3620726081
377	0.3619265035
378	0.3617903703
379	0.3617121142
380	0.3616519383
381	0.3615387203
382	0.3613207762
383	0.3612702058
384	0.3611796213
385	0.3610829864
386	0.3609314643
387	0.3608799873
388	0.360733636
389	0.3606589583
390	0.3604676199
391	0.3603700137
392	0.3602728218
393	0.3601706994
394	0.3600314008
395	0.3599371717
396	0.3598399763
397	0.3597370425
398	0.3595564987
399	0.359450347
400	0.3593426087
401	0.3592206481
402	0.3590487124
403	0.3589288927
404	0.3588439275
405	0.358735166
406	0.3586607026
407	0.3585151352
408	0.3584073094
409	0.35831597
410	0.3582135916
411	0.3581159302
412	0.3580102941
413	0.3579403603
414	0.3578338662
415	0.3576618216
416	0.3575690804
417	0.3574851336
418	0.3573275947
419	0.3572152355
420	0.3570787942
421	0.3569966678
422	0.3569096193
423	0.3567793031
424	0.3565210447
425	0.3564574402
426	0.3563887543
427	0.3562037831
428	0.3560971747
429	0.3559654509
430	0.3558317596
431	0.355668378
432	0.3555763491
433	0.3554839829
434	0.3553423061
435	0.3552659337
436	0.3550719065
437	0.3549812871
438	0.3548385045
439	0.3547347755
440	0.3546028853
441	0.3544221182
442	0.3543664363
443	0.3541899205
444	0.3541530246
445	0.3540211203
446	0.3539091454
447	0.3537956571
448	0.3536931004
449	0.3535581008
450	0.3534170139
451	0.3533138878
452	0.3532021268
453	0.353024039
454	0.3529080037
455	0.3528114459
456	0.3527438049
457	0.3525827652
458	0.3525060544
459	0.3524456107
460	0.3523528345
461	0.3522626583
462	0.3521432851
463	0.3520128524
464	0.3519112224
465	0.3518225158
466	0.3517392882
467	0.3516329403
468	0.3515013934
469	0.3513807585
470	0.3512744041
471	0.351122875
472	0.3509828081
473	0.3508584555
474	0.3507841468
475	0.3506892935
476	0.3505568175
477	0.3504571395
478	0.3503420868
479	0.3502792651
480	0.350197568
481	0.3500913669
482	0.3500006618
483	0.3499105703
484	0.3497830287
485	0.3496993067
486	0.3495473597
487	0.349431371
488	0.3493378555
489	0.3492481322
490	0.3491604973
491	0.3490626751
492	0.3489463881
493	0.3489082078
494	0.3487933033
495	0.3486787593
496	0.3485690548
497	0.3484636277
498	0.348278141
499	0.3481735254
500	0.3480809768
501	0.3478998247
502	0.3478587667
503	0.347733337
504	0.3476142684
505	0.3475262481
506	0.3474364244
507	0.3473593549
508	0.3472886402
509	0.3472053649
510	0.3471010773
511	0.3470528
512	0.3469671309
513	0.3469143096
514	0.3468346743
515	0.3467516033
516	0.34663022
517	0.3465460465
518	0.3464574053
519	0.3463995991
520	0.3463145287
521	0.3462421746
522	0.3461528432
523	0.3460484171
524	0.3458862724
525	0.3457872317
526	0.3456967921
527	0.3455385953
528	0.3454454703
529	0.3453908053
530	0.3453057098
531	0.3452096084
532	0.3451457266
533	0.3450794926
534	0.3450105048
535	0.3448982699
536	0.3447167492
537	0.3446108338
538	0.3444374336
539	0.3442824182
540	0.3442228774
541	0.3440511629
542	0.3439514233
543	0.3438552045
544	0.3437740239
545	0.3437233718
546	0.3436593387
547	0.3435077149
548	0.3433630637
549	0.3431949699
550	0.3431214062
551	0.34305842
552	0.3428936878
553	0.3428194425
554	0.3426624116
555	0.3426005757
556	0.3424424615
557	0.3423684395
558	0.34227381
559	0.3422036204
560	0.3421356109
561	0.3420646261
562	0.34197733
563	0.3418824819
564	0.3418004276
565	0.3416601844
566	0.3414697504
567	0.3413587128
568	0.3412276703
569	0.3411664948
570	0.3410278631
571	0.3408684373
572	0.3408002909
573	0.3407326308
574	0.3406757308
575	0.3405021534
576	0.3403372244
577	0.3402001254
578	0.3400710626
579	0.3399239638
580	0.3398250318
581	0.3397138928
582	0.3395880835
583	0.3394811471
584	0.3394188421
585	0.3393496745
586	0.3392325735
587	0.3391178654
588	0.3389122109
589	0.3388439592
590	0.3387872477
591	0.3386065253
592	0.3384077222
593	0.338367076
594	0.3382548885
595	0.3381841183
596	0.3379946178
597	0.3379141177
598	0.3378449729
599	0.3376767293
600	0.3374823642
601	0.3373768386
602	0.3372353657
603	0.3371167191
604	0.3370122229
605	0.3368964586
606	0.3367855924
607	0.3366056015
608	0.3365523679
609	0.3364982028
610	0.336358701
611	0.3362503865
612	0.3360561007
613	0.3359538355
614	0.3358046839
615	0.3356546662
616	0.3354755193
617	0.3353709239
618	0.3352353487
619	0.335130041
620	0.3350202976
621	0.3349167739
622	0.3348515922
623	0.3347508712
624	0.3345922008
625	0.3344231286
626	0.3343482412
627	0.3342485029
628	0.3341567525
629	0.334007263
630	0.3338433725
631	0.3337135904
632	0.3335870588
633	0.3334347838
634	0.333324326
635	0.3332254469
636	0.3331130762
637	0.3330245224
638	0.3329269434
639	0.3327939444
640	0.3326788779
641	0.3325975467
642	0.3324793193
643	0.3323715523
644	0.3322826241
645	0.3321735459
646	0.3320509041
647	0.3319270749
648	0.3317266401
649	0.3316457689
650	0.3315511088
651	0.3314636364
652	0.3313453696
653	0.3312707782
654	0.3312330779
655	0.3311312334
656	0.3310216836
657	0.3309195312
658	0.330861807
659	0.3307441017
660	0.330565335
661	0.3305291948
662	0.3304590286
663	0.3303473691
664	0.3302426939
665	0.3301399434
666	0.3300297376
667	0.3299740968
668	0.3299160992
669	0.3297655745
670	0.3296510355
671	0.3295928972
672	0.3294839513
673	0.3293822872
674	0.3292576036
675	0.329161286
676	0.3290751174
677	0.3289675109
678	0.3288706499
679	0.3288168266
680	0.3287589745
681	0.3286185009
682	0.3285756353
683	0.328495599
684	0.3283523553
685	0.3281317455
686	0.3280574747
687	0.3278849638
688	0.3278020157
689	0.3276925018
690	0.3276312777
691	0.3274869675
692	0.3274269645
693	0.3272523332
694	0.327042122
695	0.3269014568
696	0.3268265422
697	0.3266709704
698	0.3265647886
699	0.3264268488
700	0.3263460878
701	0.3262872708
702	0.3261964231
703	0.3260544398
704	0.3259887217
705	0.3258503986
706	0.3257976573
707	0.3257077159
708	0.3256251105
709	0.3255280042
710	0.325413683
711	0.3252959679
712	0.3251433889
713	0.3250423377
714	0.324911605
715	0.3248477359
716	0.3247440586
717	0.3246727047
718	0.3245679943
719	0.3244773545
720	0.3243695722
721	0.3243155572
722	0.3241983297
723	0.324074605
724	0.3240075326
725	0.3239306166
726	0.3238159922
727	0.3237029842
728	0.3235445605
729	0.3234107373
730	0.3233316052
731	0.32318755
732	0.3230464519
733	0.3229801123
734	0.3228495843
735	0.3227146215
736	0.3226299762
737	0.3225574317
738	0.3224241727
739	0.3223492445
740	0.3222874634
741	0.3221926456
742	0.3220893629
743	0.3220079515
744	0.3219069767
745	0.3217909828
746	0.3216770505
747	0.3215620221
748	0.3214585864
749	0.3213368314
750	0.3212786633
751	0.3211726551
752	0.3210057566
753	0.3209391985
754	0.3208494087
755	0.3208139959
756	0.3206540991
757	0.3205650102
758	0.3204602932
759	0.3203898987
760	0.3202611528
761	0.3201580286
762	0.3200425366
763	0.3199845028
764	0.3199340784
765	0.3198540161
766	0.3197592291
767	0.3196293693
