iter	Passed	Remaining
0	2	2220
1	4	2166
2	8	2699
3	10	2573
4	13	2610
5	15	2610
6	17	2534
7	19	2461
8	21	2422
9	24	2419
10	26	2420
11	29	2391
12	31	2364
13	33	2346
14	38	2514
15	40	2491
16	43	2534
17	46	2511
18	48	2489
19	50	2469
20	52	2450
21	55	2453
22	57	2449
23	60	2447
24	62	2439
25	64	2431
26	66	2406
27	69	2395
28	71	2386
29	73	2374
30	75	2371
31	78	2374
32	80	2372
33	83	2365
34	85	2357
35	88	2357
36	90	2361
37	93	2360
38	95	2355
39	98	2372
40	101	2364
41	103	2364
42	105	2353
43	108	2360
44	110	2354
45	113	2345
46	115	2339
47	117	2331
48	119	2323
49	122	2319
50	124	2325
51	128	2344
52	130	2339
53	133	2333
54	135	2330
55	137	2323
56	141	2338
57	143	2332
58	145	2325
59	148	2318
60	151	2331
61	153	2329
62	156	2321
63	158	2313
64	160	2309
65	162	2304
66	165	2305
67	167	2300
68	170	2301
69	172	2296
70	175	2290
71	177	2282
72	180	2286
73	182	2285
74	184	2278
75	186	2273
76	189	2269
77	191	2265
78	194	2267
79	197	2268
80	199	2261
81	201	2255
82	203	2253
83	206	2253
84	211	2275
85	213	2271
86	216	2268
87	219	2269
88	221	2266
89	223	2261
90	226	2264
91	228	2259
92	231	2257
93	233	2255
94	237	2260
95	240	2262
96	242	2260
97	244	2254
98	247	2251
99	249	2246
100	251	2242
101	254	2236
102	256	2230
103	258	2230
104	261	2226
105	263	2221
106	266	2222
107	268	2216
108	270	2214
109	273	2210
110	276	2212
111	278	2206
112	280	2202
113	283	2200
114	285	2195
115	287	2191
116	289	2186
117	292	2188
118	295	2184
119	297	2180
120	299	2179
121	302	2177
122	304	2173
123	307	2169
124	309	2165
125	311	2161
126	313	2157
127	316	2155
128	318	2152
129	320	2145
130	323	2143
131	325	2140
132	328	2141
133	331	2144
134	334	2141
135	337	2142
136	340	2142
137	342	2138
138	344	2135
139	347	2133
140	348	2124
141	351	2121
142	353	2117
143	355	2113
144	357	2109
145	359	2105
146	362	2105
147	365	2101
148	369	2110
149	372	2108
150	374	2104
151	376	2100
152	379	2101
153	381	2098
154	384	2093
155	386	2088
156	388	2086
157	390	2083
158	393	2078
159	395	2076
160	397	2072
161	399	2067
162	402	2064
163	404	2060
164	406	2057
165	410	2059
166	413	2060
167	416	2061
168	419	2064
169	422	2062
170	424	2059
171	427	2056
172	429	2054
173	432	2051
174	434	2048
175	436	2045
176	439	2043
177	441	2039
178	444	2036
179	446	2033
180	448	2030
181	450	2026
182	453	2023
183	455	2020
184	457	2016
185	459	2012
186	462	2009
187	464	2006
188	468	2009
189	470	2007
190	473	2006
191	475	2002
192	478	2000
193	481	1999
194	483	1995
195	485	1993
196	488	1989
197	490	1986
198	492	1984
199	495	1980
200	497	1977
201	499	1973
202	502	1972
203	508	1984
204	510	1980
205	512	1977
206	515	1972
207	517	1969
208	519	1965
209	521	1961
210	523	1957
211	526	1955
212	528	1951
213	530	1948
214	532	1945
215	535	1942
216	537	1939
217	540	1937
218	542	1934
219	544	1930
220	546	1927
221	549	1924
222	551	1920
223	553	1917
224	556	1915
225	558	1912
226	560	1908
227	562	1905
228	565	1902
229	567	1899
230	569	1896
231	571	1892
232	574	1889
233	575	1885
234	578	1881
235	580	1879
236	583	1877
237	585	1875
238	587	1872
239	590	1869
240	592	1865
241	594	1862
242	598	1863
243	600	1861
244	603	1859
245	606	1857
246	608	1855
247	611	1852
248	614	1852
249	616	1849
250	618	1846
251	621	1843
252	623	1839
253	625	1835
254	627	1832
255	629	1828
256	631	1824
257	633	1820
258	635	1817
259	637	1813
260	639	1810
261	641	1806
262	643	1802
263	645	1799
264	647	1796
265	652	1801
266	655	1798
267	657	1794
268	659	1791
269	661	1788
270	663	1784
271	665	1781
272	667	1778
273	670	1775
274	672	1772
275	674	1768
276	676	1765
277	678	1762
278	680	1759
279	682	1755
280	685	1753
281	687	1750
282	689	1746
283	691	1744
284	694	1741
285	696	1737
286	698	1734
287	700	1732
288	702	1729
289	705	1726
290	707	1723
291	709	1720
292	711	1717
293	714	1714
294	716	1712
295	718	1709
296	721	1706
297	723	1703
298	725	1701
299	727	1697
300	729	1694
301	732	1691
302	734	1689
303	736	1686
304	738	1682
305	740	1680
306	743	1679
307	746	1676
308	747	1671
309	750	1669
310	752	1666
311	754	1663
312	756	1660
313	758	1657
314	760	1653
315	762	1650
316	764	1647
317	766	1644
318	769	1642
319	771	1639
320	773	1636
321	775	1633
322	778	1632
323	781	1631
324	783	1628
325	786	1625
326	788	1621
327	790	1619
328	792	1616
329	794	1613
330	797	1611
331	803	1616
332	806	1615
333	809	1613
334	811	1610
335	814	1609
336	816	1606
337	818	1603
338	821	1601
339	823	1598
340	825	1595
341	827	1592
342	830	1590
343	832	1587
344	834	1584
345	837	1583
346	839	1580
347	841	1577
348	843	1574
349	846	1571
350	848	1568
351	850	1566
352	852	1563
353	855	1560
354	857	1557
355	860	1557
356	863	1554
357	865	1551
358	867	1549
359	871	1548
360	873	1545
361	875	1542
362	877	1540
363	879	1537
364	882	1534
365	884	1531
366	886	1529
367	890	1529
368	893	1527
369	895	1524
370	897	1521
371	899	1519
372	902	1516
373	904	1513
374	906	1510
375	908	1507
376	910	1504
377	912	1501
378	915	1500
379	917	1497
380	920	1495
381	922	1493
382	925	1490
383	927	1487
384	929	1485
385	932	1483
386	935	1481
387	937	1478
388	939	1475
389	941	1473
390	944	1470
391	946	1468
392	948	1465
393	950	1462
394	953	1459
395	957	1460
396	959	1457
397	961	1454
398	963	1451
399	965	1448
400	968	1446
401	970	1443
402	972	1440
403	974	1438
404	977	1435
405	979	1432
406	981	1430
407	984	1429
408	987	1427
409	990	1425
410	993	1423
411	995	1421
412	998	1418
413	1000	1416
414	1002	1413
415	1005	1411
416	1008	1409
417	1011	1407
418	1013	1405
419	1015	1402
420	1018	1400
421	1020	1397
422	1023	1395
423	1025	1393
424	1027	1390
425	1030	1388
426	1033	1386
427	1035	1383
428	1037	1381
429	1040	1379
430	1042	1376
431	1045	1374
432	1047	1372
433	1050	1369
434	1052	1367
435	1055	1365
436	1058	1363
437	1060	1360
438	1062	1357
439	1064	1355
440	1067	1353
441	1069	1350
442	1072	1348
443	1074	1345
444	1077	1343
445	1079	1341
446	1082	1338
447	1084	1336
448	1087	1334
449	1089	1331
450	1092	1330
451	1095	1327
452	1097	1325
453	1103	1327
454	1106	1325
455	1109	1324
456	1112	1321
457	1114	1318
458	1116	1315
459	1118	1313
460	1121	1310
461	1123	1308
462	1125	1305
463	1127	1302
464	1129	1299
465	1134	1300
466	1136	1297
467	1139	1294
468	1141	1292
469	1143	1289
470	1145	1286
471	1147	1284
472	1150	1281
473	1152	1278
474	1154	1276
475	1157	1273
476	1159	1271
477	1162	1269
478	1165	1267
479	1167	1265
480	1170	1263
481	1173	1260
482	1175	1258
483	1177	1255
484	1179	1252
485	1182	1250
486	1185	1248
487	1187	1245
488	1189	1243
489	1192	1240
490	1194	1238
491	1196	1235
492	1199	1233
493	1201	1231
494	1204	1228
495	1206	1226
496	1209	1223
497	1211	1221
498	1214	1219
499	1217	1217
500	1219	1215
501	1222	1212
502	1224	1209
503	1226	1207
504	1228	1204
505	1231	1202
506	1233	1199
507	1236	1197
508	1238	1194
509	1240	1192
510	1243	1189
511	1245	1187
512	1249	1186
513	1252	1184
514	1254	1181
515	1257	1179
516	1259	1176
517	1261	1174
518	1264	1171
519	1266	1169
520	1269	1166
521	1271	1164
522	1274	1162
523	1276	1159
524	1279	1157
525	1282	1155
526	1284	1152
527	1287	1150
528	1289	1148
529	1291	1145
530	1294	1142
531	1296	1140
532	1299	1138
533	1301	1135
534	1303	1133
535	1305	1130
536	1308	1128
537	1310	1125
538	1313	1123
539	1316	1121
540	1318	1118
541	1320	1116
542	1323	1113
543	1325	1111
544	1328	1109
545	1330	1106
546	1333	1104
547	1335	1101
548	1338	1099
549	1341	1097
550	1343	1095
551	1346	1092
552	1349	1090
553	1352	1088
554	1354	1086
555	1357	1083
556	1359	1081
557	1361	1078
558	1364	1076
559	1366	1073
560	1369	1071
561	1371	1069
562	1374	1066
563	1377	1064
564	1379	1061
565	1381	1059
566	1384	1056
567	1386	1054
568	1389	1052
569	1392	1050
570	1395	1048
571	1398	1046
572	1401	1044
573	1403	1041
574	1406	1039
575	1408	1036
576	1411	1034
577	1413	1031
578	1415	1029
579	1417	1026
580	1420	1024
581	1422	1021
582	1425	1019
583	1427	1016
584	1429	1014
585	1432	1011
586	1434	1009
587	1436	1006
588	1439	1004
589	1441	1001
590	1443	999
591	1446	996
592	1448	993
593	1450	991
594	1452	988
595	1455	986
596	1458	984
597	1460	981
598	1463	979
599	1465	976
600	1467	974
601	1469	971
602	1472	969
603	1474	966
604	1477	964
605	1479	962
606	1482	959
607	1484	956
608	1486	954
609	1488	951
610	1491	949
611	1493	946
612	1496	944
613	1498	942
614	1500	939
615	1503	936
616	1506	935
617	1508	932
618	1511	930
619	1513	927
620	1516	925
621	1519	923
622	1522	921
623	1524	918
624	1526	915
625	1528	913
626	1530	910
627	1533	908
628	1535	905
629	1539	903
630	1541	901
631	1543	898
632	1546	896
633	1548	894
634	1551	891
635	1553	889
636	1556	887
637	1558	884
638	1561	881
639	1563	879
640	1566	877
641	1568	874
642	1571	872
643	1573	869
644	1575	867
645	1578	864
646	1580	862
647	1583	860
648	1587	858
649	1590	856
650	1592	853
651	1594	851
652	1597	848
653	1599	846
654	1602	843
655	1605	841
656	1607	839
657	1609	836
658	1612	834
659	1614	831
660	1616	829
661	1619	826
662	1621	824
663	1624	821
664	1626	819
665	1628	816
666	1630	814
667	1632	811
668	1635	809
669	1637	806
670	1640	804
671	1642	801
672	1644	799
673	1647	796
674	1649	794
675	1652	791
676	1654	789
677	1657	787
678	1659	784
679	1662	782
680	1664	779
681	1667	777
682	1669	774
683	1672	772
684	1674	769
685	1676	767
686	1682	766
687	1685	764
688	1687	761
689	1689	759
690	1691	756
691	1694	753
692	1696	751
693	1698	748
694	1700	746
695	1702	743
696	1704	741
697	1706	738
698	1708	735
699	1710	733
700	1713	730
701	1715	728
702	1717	725
703	1719	722
704	1721	720
705	1723	717
706	1725	715
707	1727	712
708	1729	709
709	1731	707
710	1733	704
711	1736	702
712	1738	699
713	1741	697
714	1743	694
715	1745	692
716	1747	689
717	1749	687
718	1751	684
719	1753	682
720	1755	679
721	1757	676
722	1760	674
723	1762	671
724	1764	669
725	1766	666
726	1768	664
727	1771	661
728	1773	659
729	1775	656
730	1778	654
731	1780	651
732	1783	649
733	1785	647
734	1788	644
735	1790	642
736	1793	639
737	1795	637
738	1798	635
739	1799	632
740	1802	629
741	1804	627
742	1806	624
743	1808	622
744	1811	619
745	1813	617
746	1815	614
